"text","rating"
"Summary: This paper presents a training-free framework for long video understanding that integrates three components—Adaptive Frame Sampling (AFS), Dynamic Resolution Allocation (DRA), and Video-Query-Options Similarity (VQOS)—to efficiently manage the token budget by focusing computational resources on relevant video segments, reportedly achieving state-of-the-art results on several benchmarks.
Strengths: - The proposed framework is training-free and model-agnostic, making it a highly practical solution that can be readily applied to various off-the-shelf MLLMs (as demonstrated on LLaVA-Video and Qwen2.5-VL), enhancing its accessibility and potential for broad adoption.
Weaknesses: 1. I observed that the model's performance initially improves but then declines as the number of candidate options increases. Could the authors explain this non-monotonic behavior? Is this phenomenon related to the concept of pass@k?

​2. Could segmenting a long video into multiple short clips risk scattering information relevant to a long-term temporal question across different segments? If so, might this lead to incorrect segment localization when answering questions that require integrating evidence from across the entire video timeline?","Weak Accept"
"Summary: In this paper, the authors approach Constraint Optimization Problems, and do it by proposing an MCTS model that uses a GNN for guiding better while selecting variables. The authors address a historical problem faced by algorithms that use search trees to solve problems. Depending on which variables are chosen to set values, the path to finding a feasible solution can be greatly extended. In this sense, finding the shortest path is a real challenge.
Strengths: S1. The problem addressed is relevant.
Weaknesses: W1. The authors place great emphasis on the idea of reducing the number of nodes explored during the search and the Node Efficiency (NE) measure. However, when one reads the results in Table 1 and sees that OR-tools obtains optimal solutions in less time than BalMCTS... I wonder what the point of reviewing more or fewer nodes is if, in the end, a classic and infinitely simpler solver solves it faster. I'm not saying that the work proposed in this paper isn't interesting, but the overhead introduced by BalMCTS clearly doesn't compensate for it.

W2. The authors do not use the references correctly. Example: In line 032, it should read (Modi et al. 2025) instead of Modi et al. (2025). The same applies to line 033 and many other places in the article. By the way, why is the citation in line 86 switched to another one?

W3. Typos in lines 074 and 075.

W4. It is not explained/well-motivated why the three principles introduced in the paragraph above Fig. 1 are relevant. In fact, it is not clear how the contributions that appear afterward are related to them.

W5. The paper should be carefully revised and the writing improved. There are strange statements across the paper. For example, in line 080, the authors explain their interest in finding a universal solver. This is the holy grail of optimization. But it has long been known that it clashes head-on with the No-Free-Lunch theorem (Wolpert and Macready, 1997). In addition, I would not say that COPs are, by nature, dynamic.

W6. Why italics in lines 122? The paper has many non-justified formatting issues. It looks like the manuscript is still to be polished.

W7. In the experimental section, the authors have moved a lot of material to appendices, making the main body confusing in some parts. For example, what are the Delta symbols in the caption of Table 1? At which moment did BalMCTS-GPT appear? What is WGCP? Note that the main body should be self-contained and understandable. Then, if the reader aims to know more details, he/she can read the appendices.

W8. Why is OR-Tools not included in Table 2?","Reject"
"Summary: This paper try to solve the spatial degradation problem in vision token pruning for vision language models. Specifically, it proposes RPME to preserve spatial integrity during token reduction. I think the idea is clear and it is grounded in practical bottlenecks for high-resolution inference. 

Author conducted experiments across grounding and multiple VQA benchmarks, which show meaningful improvement over baselines, and the ablation study strengthen the causal claims.
Strengths: 1. Clear motivation, the idea is grounded in real multimodal deployment constraints.

2. Strong empirical performance gain on grounding and VQA datasets.
Weaknesses: 1. The paper primarily evaluates on LLaVA-1.5-7B (and NeXT-7B), but does not include stronger or more modern VLM backbones such as Qwen-VL, InternVL. Since the field is rapidly standardizing around Qwen-VL and InternVL as competitive baselines, the absence of these comparisons leaves uncertainty about generalizability across architectures.

2. Lack of comparison with stronger baselines, such as PyramidDrop and Vscan.

[1] PyramidDrop: https://arxiv.org/abs/2410.17247
[2] Vscan: https://arxiv.org/abs/2505.22654

3. Limited discussion of failure modes or robustness to cluttered scenes and occlusions.","Weak Accept"
"Summary: The paper extends AlphaEvolve-style algorithm evolution with a deep research agent, that searches the web for relevant information and informs proposals for new algorithms.

The new approach is tested on 9 problems from different scientific areas.
Strengths: The paper presents a novel approach of combing a deep research agent with evolutionary algorithm discovery. This could be significant especially to incorporate very recent knowledge or when the recall abilities of the LM are not sufficient to make full use of the available internet knowledge are.

The paper is clearly written and understandable, though a focus on clearly proving the main point (deep research is helpful for algorithm discovery) would still improve it. 

The agent design seems reasonable, however at the current state of ablations and experiments I am unconvinced by the data about how much gain the new design leads to.
Weaknesses: My main issue at this point are the ablations and experiments. The main point of the paper seems to be to demonstrate that adding deep research to a AlphaCode-style evolutionary algorithm discovery leads to better results. 

However, the main quantitative results (tab 2) do not compare different algorithm discovery strategies, but only compare improvements over an algorithm baseline.

The LM as a judge analysis of analyzing the solution space in terms of originality, potential, and implementation difficulty is not explained in detail or validated to avoid biases from LM as a judge setups. 

The qualitative observations in section 4.3 could be improved by considering alternative explanations for the observed behavior (see questions below).

The ablation in Tab. 4 is great and should be the core piece of evidence for the superiority of the new method: By combining the scores of the agent with and without deep research. However this is only done for a subset of 2 out of the 9 problems and the difference with or without deep research seem to be exaggerated in the overall framing of the paper and in the accompanying text. 

I am willing to raise my score if my questions below are answered and/or additional evidence for the gains by adding deep research are added to the paper.","Reject"
"Summary: Aiming at the problem that the understanding ability of multimodal large language models (MLLMs) in the ""One-Image Guide"" is insufficient, this paper proposes the first benchmark dataset OIG-Bench focusing on this scenario, and designs a multi-agent semi-automatic labeling process to reduce the construction cost. At the same time, 29 mainstream MLLMs are systematically evaluated. The research motivation is clear, and the paper fills the evaluation gap of ""human-like cognitive level single-graph guide understanding"". Data screening combines MLLM cross-validation and manual review to evaluate the core capabilities of dimension coverage and human verification.
Strengths: 1. Existing multimodal benchmarks mostly focus on diagrams/documents of layout rules, while ""single-graph guide"", as a human-friendly visual format that integrates text, images, and symbols (such as travel route maps, game guide maps), is more close to the complex information presentation of real scenes, but there is a lack of specific evaluation benchmarks before. This paper takes this scene as the research object for the first time, and clarifies its ""human-like cognitive characteristics"" and the three major challenges faced by MLLMs: fine grain visual details, complex logical structures, and cross-modal reasoning. The research scene is innovative and practical.
2. The evaluation plan is well designed. The image description generation task covers ""text recognition, semantic consistency, detail coverage, illusion control"", and the VQA task focuses on ""reasoning ability"", which are the core capabilities of single-image guide understanding.
3. Evaluate 29 MLLMs (including 5 closed-source and 24 open-source ones, covering scales from 6B to 78B), with unified prompt templates, temperature=0, and other experimental settings, to conduct a fair comparison of the performance of different models, across domains (games/travel/medical/food), and graph types (layout diagrams/logic diagrams).
Weaknesses: 1. The document mentions that the data is collected from Xiaohongshu, Baidu, and Google, but only states that ""anonymization ensures privacy,"" and does not mention whether it is authorized by the platform or uses ""publicly available and copyright-free content,"" which poses a risk of infringement. It is recommended to supplement the ""Data Copyright Compliance Statement"" to clarify that the data source is publicly available for non-commercial use, or has been authorized by the platform for research.
2. Existing experiments only demonstrate the overall performance of multi-agents (e.g., 86.4% semantic consistency, 96.8% text recognition), and do not validate the necessity of each component of ""description-generated agent, OCR-generated agent, OCR-corrected agent, summary agent"". It is recommended to supplement ablation experiments, such as the change in semantic consistency after removing OCR-corrected agents, and the performance difference between agents and multi-agents generated using only a single description, to strengthen the persuasiveness of the advantages of multi-agent collaboration.
3. The existing analysis only compares ""image entropy"" and fails to compare the performance of OIG-Bench with existing benchmarks on the same model, making it difficult to intuitively demonstrate the unique value of OIG-Bench. It is recommended to select multiple representative models, reproduce and evaluate them on the ""description generation"" and ""VQA"" tasks of InfographicVQA, compare the score differences between OIG-Bench and InfographicVQA, quantify the challenges of OIG-Bench, and strengthen the argument of ""filling the evaluation gap"".","Weak Reject"
"Summary: This paper proposes IS-SFD, a zero‑reference low‑light video enhancement framework composed of two main modules: GIE‑Net (Gated Illumination Estimation Network) for temporally consistent illumination estimation via multiscale similarity and a gated memory of feature–similarity (F‑S) pairs; and SGRD‑Net (Semantic‑frequency Guided Reflection Denoising Network) that denoises Retinex‑derived reflection maps by fusing DWT frequency subbands with semantic features from a frozen CLIP encoder via the SFFM (Semantic‑Frequency Fusion Module).
Strengths: 1. Clear problem decomposition and targeted design: separate treatment of temporal illumination smoothness and reflection‑domain denoising is well motivated for the two core LLVE challenges.

2. Combining noise‑robust semantic cues (CLIP) with DWT frequency subbands through cross‑attention (SFFM) is a novel and plausible approach to preserve structure while suppressing noise.

3. Evaluations on two established datasets, quantitative tables, and visual examples (including temporal comparisons) enable reasonable assessment.
Weaknesses: 1. The author is suggested to compare the time for inference with several methods, because it is important for practical potentials.

2. The soundness of utilizing clip needs to be further evidenced. Because the sematic feature is sparse and the input videos are noisy, the author is suggested to provide some justification about the rightness of clip feature.

3. There should be some cases displaying the temporal priority of this methods, such as qualified results, etc.

4. This method utilizes CEDFlow for warping. If the light is extremely low, can the flow model work properly? the auther is adviced to display relative visual results. The reviewer also wants to see the generalization of this method in some edge cases.","Weak Accept"
"Summary: This paper proposes GUI‑PRA (Process Reward Agent for GUI Tasks), a training‑free framework designed to enhance GUI agents through improved process supervision. It introduces two key components—Dynamic Memory, which mitigates the “lost in the middle” issue by condensing long interaction histories, and Adaptive UI Perception, which enables awareness of visual state changes. Experiments on AndroidWorld and Mobile‑MiniWoB++ benchmarks show an average success rate improvement of 14.53%, outperforming the standard PRM baseline (8.56%).
Strengths: - The paper presents a comprehensive GUI agent framework that integrates multiple components, demonstrating a high level of innovation and thoughtful system design.
- It evaluates the proposed approach using two different model series, which effectively supports the generalization and robustness of the method.
- The overall presentation is clear and well‑structured, with logically coherent arguments and fluent writing that make the work easy to follow.
Weaknesses: - The paper lacks quantitative validation or explanation of its core motivation. While it repeatedly mentions the “lost in the middle” problem, there is no clear evidence showing how severe this issue is, how much it affects performance, or to what extent the proposed method actually mitigates it. A more detailed analysis or empirical verification would strengthen the motivation.
- The experimental evaluation is limited — only two benchmarks are used. This limited scope makes it difficult to fully assess the proposed method’s superiority. Including more baselines or benchmarks would provide a stronger evidence.
- Some figures such as Figure 3 contain text that is too small to read clearly, which negatively affects the readability and overall understanding of the paper.","Weak Reject"
"Summary: This paper proposes a new training strategy, RL-Hammer, to train attacker models in the black-box prompt injection attack setting. The training process adopts a revised GRPO algorithm, avoiding the need for a warm-up dataset or an additional value model. The attack prompts generated by RL-Hammer show strong effectiveness and transferability across a range of commercial-level LLMs like Llama3.2, Secalign, GPT-4o, and Gemini. The paper also evaluates several prompt injection detectors including perplexity-based filters, PromptGuard, ProtectAI-Guard, and LLM-based judges and shows that these detectors are not robust enough for defense, especially under an adaptive attack that uses the detector's output as a reward.
Strengths: 1. RL-Hammer demonstrates strong effectiveness against many state-of-the-art commercial (closed-source) models.

2. The proposed training techniques (removing KL, joint training, soft/format rewards) are intuitive and supported by ablations. They substantially improve GRPO’s ability to learn strong prompt injections.

3. The paper shows RL-Hammer can produce diverse attack strategies under different reward signals, which makes the attack more flexible and powerful.
Weaknesses: 1. The paper doesn’t clearly define its threat model for the black-box setting. Without explaining the attacker’s goals, knowledge, and capabilities, it’s hard to tell whether the proposed attack truly makes sense or matters in practice.

2. The transferability shown in Table 1 is not good when the training-time target model has a significantly different structure from the test-time model.

3. The paper only tests a few defense methods, so the claim that “current defenses are not enough” feels less convincing.

4. The baseline attacks used for comparison are quite basic, which makes it hard to judge how much better RL-Hammer actually is compared with stronger black-box attack methods.

Typo: “Attack Type” in Table 1 should probably be “Attack Method”.","Weak Reject"
"Summary: This paper proposes to reformulate the PINN loss as a min–max (saddle-point) problem with a Bregman regularizer to stabilize the weights. Using a simple optimizer, Bregman Gradient Descent–Ascent (BGDA), the authors empirically show improved performance on numerous PDE benchmarks. To explain where the gains come from, the paper presents a gradient conflict analyses showing reduced conflict, which supports the reported performance improvements.
Strengths: 1. High novelty. The paper reformulates PINN into a new optimization framework that mitigates gradient-conflict issues.

2. Clear and rigorous. The problem setup and method are explained clearly, and the paper provides rich theory, such as complexity bounds, that demonstrates the strength of the approach.

3. Strong experiments. The evaluation across 22 PDEs is comprehensive and shows the stability of the proposed method.
Weaknesses: Although this paper have already compared to many baseline optimizers. It would better to include some SOTA method like [1] and [2], especially [2] also experimented on Burgers equation and achieves a much lower error.


[1] Rathore, Pratik, et al. ""Challenges in training pinns: A loss landscape perspective."" arXiv preprint arXiv:2402.01868 (2024).

[2] Kiyani, Elham, et al. ""Which Optimizer Works Best for Physics-Informed Neural Networks and Kolmogorov-Arnold Networks?."" arXiv preprint arXiv:2501.16371 (2025).","Weak Accept"
"Summary: This paper proposes new theoretical analysis and layer design for Clifford-streerable CNNs. The motivation is that the original CSCNN is not complete in terms of equivariant information. The theoretical analysis eventually leads to a simple design where the layer is additionally conditioned on the average-pooled features. The design conforms with the theoretical insights although the completeness of the simple design is not proved and is formulated as a conjuncture. The model is tested on serval PDE learning tasks including NS, SWE and Maxwell.
Strengths: - The paper includes in-depth theoretical analysis which leads to a simple and pratical design.
- The presented results show improvement against CSCNN baseline.
Weaknesses: - The presentation may not be easily accessible for readers not familiar with CSCNN.
- The performance of the proposed model does not seem to be very competitive on SWE-5.","Weak Accept"
